hurs(1),clwvi(1),psl(1),tas(1),va0(2),ua2(4)
83.92654419,0.052149221,102346.1172,263.6098633,2.580767155,4.693721294
83.46987152,0.048810836,102882.7969,260.5761719,1.485538244,1.067225218
75.92334747,0.054683067,101762.4531,269.6807861,1.781091809,-0.82570219
64.15833282,0.046017818,101561.25,280.06604,1.683223128,4.131295204
39.1313591,0.038036797,101069.8516,287.6913147,0.744903326,0.404221892
42.71214294,0.018435001,100700.6875,294.7385254,-0.163665682,-2.780230522
42.72283554,0.006058771,100542.1328,296.1403809,-0.889941931,-2.323891878
44.11497498,0.015786408,100849.3828,295.5998535,-1.129618645,-2.033550978
45.25004578,0.014068923,101379.7109,292.8059998,0.097096458,-0.668831527
53.36539078,0.009322988,101483.7656,284.8302612,1.413322806,-1.544523239
67.00120544,0.036218073,102219.1016,276.3716736,1.85205698,4.112526417
73.61313629,0.059820995,102451.8125,270.0178528,2.173079252,5.632211685
74.82250214,0.032771278,102666.1797,269.5691833,1.734471202,5.314497471
78.06519318,0.045880429,102665.5,270.2746277,0.513041735,3.712959766
72.33250427,0.050341167,101809.7422,273.7636108,0.559685647,2.072332144
49.92883301,0.042366352,101415.9609,281.8805237,1.359368086,-1.710030556
49.58715057,0.04463125,101039.0234,288.0885315,0.915021598,-0.277040899
45.19910812,0.021633636,100996.9844,293.168457,-0.54768455,-0.95597291
50.3579483,0.033858992,100774.5313,294.4897156,-1.743144512,-2.001096487
53.10731125,0.015817882,100800.9375,293.5737915,-0.77257508,-2.823124886
45.34069824,0.004327974,101174.3594,290.3129883,0.016212266,-2.053551674
52.24305344,0.015337361,101712.6563,286.184906,0.786019146,1.241914034
72.67145538,0.049154516,102142.6016,276.6402893,1.526046276,3.958054781
75.41590881,0.045733821,102330.1016,268.3547363,2.66013217,4.852478981
86.78923798,0.078145541,102514.0547,262.3688354,1.915410757,6.531233788
84.27411652,0.036235027,102215.6172,262.058197,3.098141432,0.067417793
79.49433136,0.035798613,101976.1953,269.6378784,1.988848567,2.232594967
66.95847321,0.049868993,101290.8047,280.8608093,1.555237412,0.773134172
40.35778427,0.0189921,101089.0391,288.2162781,0.955713689,0.987009585
32.31107712,0.011872411,100696.0703,295.3228455,0.282316625,-3.815425158
35.13811874,0.002070476,100393.4844,297.1184998,0.065981314,-4.97459507
38.9709549,0.014901448,100587.2188,295.6704407,0.068418004,-3.503940821
54.74882126,0.024504028,101223.4297,288.1355896,0.029814798,0.207191452
52.44745636,0.012207369,101812.8125,282.9825439,0.761080921,-0.06602408
66.82546234,0.035922639,102352.4766,276.9661255,1.269832015,3.767486811
65.33392334,0.015992396,102939.9453,267.8506775,0.673451543,2.788947582
70.60604858,0.04444604,102729.1328,268.1141968,1.200889468,5.163977146
79.42343903,0.042037178,102647.9922,265.864624,0.542239189,4.186374187
66.73847961,0.039319005,102171.4141,271.4452515,0.728423774,2.087685108
60.41272354,0.069164261,101385.4219,281.7850647,1.534880042,0.119168773
42.23577881,0.034401488,100782.0625,287.1069946,1.500280023,1.145474553
34.00042725,0.001841209,100735.5547,295.715332,0.209366515,-3.197189569
37.49993134,0.014657388,100432.5078,296.6648254,0.027919851,-3.275153637
40.0529213,0.033256933,100786.5703,294.6108398,-0.097160578,-3.610253096
45.58242035,0.002058667,101219.7578,290.0706482,-0.089121521,-0.261315316
45.0377121,0.013904807,101759.5391,284.0245972,1.805834532,2.597035885
61.23931503,0.052133635,102082.1094,277.8107605,2.139905691,3.664150953
91.34046936,0.0787654,102489.8281,268.9957581,1.883051157,5.549398899
88.77037811,0.076874651,102536.8359,263.991333,2.55987525,6.56733942
86.74067688,0.054460421,102012.9844,265.8036804,3.097035646,5.633308887
